customer_uid,split,recency,history,history_log1p,mens,womens,newbie,mw_count,bought_both,zip_code,channel,history_segment,history_segment_ord,treatment_arm,T,T_mens,T_womens,visit,conversion,spend
0,train,10,142.44,4.965916829296877,1,0,0,1,0,Suburban,Phone,2) $100 - $200,2,womens_email,1,0,1,0,0,0.0
1,train,6,329.08,5.799335049322941,1,1,1,2,1,Rural,Web,3) $200 - $350,3,control,0,0,0,0,0,0.0
2,test,7,180.65,5.202081758667211,0,1,1,1,0,Suburban,Web,2) $100 - $200,2,womens_email,1,0,1,0,0,0.0
3,train,9,675.83,6.517420133550769,1,0,1,1,0,Rural,Web,5) $500 - $750,5,mens_email,1,1,0,0,0,0.0
4,test,2,45.34,3.8360055190042304,1,0,0,1,0,Urban,Web,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
5,train,6,134.83,4.9114041038344,0,1,0,1,0,Suburban,Phone,2) $100 - $200,2,womens_email,1,0,1,1,0,0.0
6,train,9,280.2,5.63906615993651,1,0,1,1,0,Suburban,Phone,3) $200 - $350,3,womens_email,1,0,1,0,0,0.0
7,train,9,46.42,3.8590440806372595,0,1,0,1,0,Urban,Phone,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
8,test,9,675.07,6.516296620977861,1,1,1,2,1,Rural,Phone,5) $500 - $750,5,mens_email,1,1,0,0,0,0.0
9,train,10,32.84,3.521643534738023,0,1,1,1,0,Urban,Web,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
10,train,7,548.91,6.30975462847299,0,1,1,1,0,Urban,Phone,5) $500 - $750,5,womens_email,1,0,1,1,0,0.0
11,train,1,211.45,5.3587066665608205,0,1,1,1,0,Urban,Phone,3) $200 - $350,3,womens_email,1,0,1,0,0,0.0
12,test,5,642.9,6.467543434544138,0,1,1,1,0,Suburban,Multichannel,5) $500 - $750,5,womens_email,1,0,1,0,0,0.0
13,train,2,101.64,4.631227720307381,0,1,0,1,0,Urban,Web,2) $100 - $200,2,mens_email,1,1,0,1,0,0.0
14,train,4,241.42,5.490671759042366,0,1,1,1,0,Rural,Multichannel,3) $200 - $350,3,control,0,0,0,0,0,0.0
15,train,3,58.13,4.079738409832738,1,0,1,1,0,Urban,Web,1) $0 - $100,1,control,0,0,0,1,0,0.0
16,train,5,29.99,3.433664571799657,1,0,0,1,0,Suburban,Phone,1) $0 - $100,1,mens_email,1,1,0,0,0,0.0
17,test,9,112.35,4.730480376953538,1,0,0,1,0,Rural,Web,2) $100 - $200,2,mens_email,1,1,0,0,0,0.0
18,train,11,219.04,5.393809348007257,1,1,0,2,1,Suburban,Phone,3) $200 - $350,3,mens_email,1,1,0,0,0,0.0
19,train,5,828.42,6.720726661338765,1,0,1,1,0,Suburban,Multichannel,"6) $750 - $1,000",6,mens_email,1,1,0,0,0,0.0
20,train,9,29.99,3.433664571799657,0,1,1,1,0,Suburban,Phone,1) $0 - $100,1,control,0,0,0,0,0,0.0
21,train,11,182.32,5.211233259640923,1,0,0,1,0,Suburban,Phone,2) $100 - $200,2,mens_email,1,1,0,0,0,0.0
22,train,2,118.4,4.782479200958502,1,0,0,1,0,Suburban,Web,2) $100 - $200,2,mens_email,1,1,0,1,0,0.0
23,train,2,29.99,3.433664571799657,0,1,1,1,0,Urban,Phone,1) $0 - $100,1,control,0,0,0,0,0,0.0
24,train,4,78.24,4.37248122183035,1,0,0,1,0,Suburban,Web,1) $0 - $100,1,control,0,0,0,0,0,0.0
25,train,6,139.87,4.9478374792722155,0,1,1,1,0,Rural,Web,2) $100 - $200,2,mens_email,1,1,0,0,0,0.0
26,train,12,115.39,4.756946620953885,0,1,0,1,0,Suburban,Phone,2) $100 - $200,2,mens_email,1,1,0,1,0,0.0
27,train,6,162.98,5.099744469168032,0,1,0,1,0,Suburban,Web,2) $100 - $200,2,mens_email,1,1,0,0,0,0.0
28,train,7,435.73,6.0793151551780085,0,1,1,1,0,Urban,Web,4) $350 - $500,4,control,0,0,0,0,0,0.0
29,train,2,203.35,5.319834210010287,1,0,0,1,0,Rural,Web,3) $200 - $350,3,control,0,0,0,0,0,0.0
30,train,2,237.53,5.474495088581501,0,1,0,1,0,Suburban,Phone,3) $200 - $350,3,womens_email,1,0,1,0,0,0.0
31,train,9,334.24,5.814846693230706,1,0,0,1,0,Urban,Web,3) $200 - $350,3,mens_email,1,1,0,0,0,0.0
32,train,6,128.01,4.859889920737045,0,1,0,1,0,Urban,Web,2) $100 - $200,2,mens_email,1,1,0,0,0,0.0
33,test,9,29.99,3.433664571799657,1,0,1,1,0,Suburban,Phone,1) $0 - $100,1,mens_email,1,1,0,0,0,0.0
34,train,3,29.99,3.433664571799657,1,0,0,1,0,Rural,Web,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
35,train,4,218.72,5.3923540084744195,0,1,0,1,0,Urban,Multichannel,3) $200 - $350,3,womens_email,1,0,1,0,0,0.0
36,train,1,514.52,6.245176099988609,0,1,1,1,0,Suburban,Web,5) $500 - $750,5,mens_email,1,1,0,0,0,0.0
37,train,4,766.47,6.643099390749516,1,1,1,2,1,Urban,Multichannel,"6) $750 - $1,000",6,mens_email,1,1,0,0,0,0.0
38,train,10,63.79,4.171151270461866,1,0,1,1,0,Rural,Phone,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
39,train,7,520.43,6.256575037243498,0,1,1,1,0,Suburban,Web,5) $500 - $750,5,mens_email,1,1,0,0,0,0.0
40,train,11,236.97,5.472144615306285,1,1,1,2,1,Urban,Phone,3) $200 - $350,3,mens_email,1,1,0,0,0,0.0
41,train,3,99.23,4.607467545036775,1,0,0,1,0,Rural,Web,1) $0 - $100,1,mens_email,1,1,0,1,0,0.0
42,train,9,204.18,5.3238876426595665,0,1,0,1,0,Suburban,Web,3) $200 - $350,3,womens_email,1,0,1,0,0,0.0
