feature,category,action,reason
customer_uid,identifier (surrogate),exclude from X (keep for join),Row-position id we attach because Hillstrom has none. Carries no information; using it as a feature would memorise rows.
recency,pre-treatment covariate (numeric),keep as-is,"Months since last purchase, 1-12, measured before send. Bounded, low skew - no transform needed. Strong effect modifier candidate."
history,pre-treatment covariate (numeric),keep + derive history_log1p,"Historical 12-month $ spend, strictly positive, right-skewed. Raw kept for tree/uplift learners; log1p added for linear/propensity models. NOT winsorized - the tail is real high-value heterogeneity."
history_segment,derived-redundant of history,exclude from X (keep as ordinal for EDA),Deterministic 7-way bucketing of `history` (verified non-overlapping bin ranges). Collinear and information-losing; kept only as history_segment_ord for grouped diagnostics.
mens,pre-treatment covariate (binary),keep,Bought men's merchandise in prior 12 months. Pre-send behaviour.
womens,pre-treatment covariate (binary),keep,Bought women's merchandise in prior 12 months. Not mutually exclusive with `mens` (6448 customers have both).
newbie,pre-treatment covariate (binary),keep,New customer in the prior 12 months. Pre-send.
zip_code,pre-treatment covariate (categorical),fix typo + one-hot (fit on train),"Urban / Suburban / Rural. 'Surburban' spelling corrected. K dummies, handle_unknown='ignore'."
channel,pre-treatment covariate (categorical),one-hot (fit on train),Purchase channel(s) in prior year: Phone / Web / Multichannel. K dummies.
history_log1p,derived covariate (numeric),keep (engineered),log1p(history). Skew reduction for linear models; monotone => no ranking distortion for tree models.
mw_count,derived covariate (numeric 1-2),"keep (engineered, optional)",mens + womens. Cheap interpretable interaction proxy.
bought_both,derived covariate (binary),"keep (engineered, optional)",mens AND womens. Flags broad-basket shoppers.
segment,TREATMENT (raw),map -> treatment_arm / T / T_mens / T_womens,The randomized 3-arm assignment. Native arms preserved; binary any-email T provided for standard uplift. Never collapsed away.
visit,OUTCOME - post-treatment (mediator),target only - EXCLUDE from X,Site visit in the 2 weeks AFTER send. Caused by the e-mail => using it as a feature is textbook post-treatment leakage / mediator bias.
conversion,OUTCOME - post-treatment (primary),target only - EXCLUDE from X,Purchase in the 2 weeks after send. Primary uplift label.
spend,OUTCOME - post-treatment (monetary),target only - EXCLUDE from X,"Revenue in the 2 weeks after send; zero-inflated, spend>0 iff conversion=1. Business/ROI outcome."
treatment_arm/T/T_mens/T_womens,TREATMENT (engineered),keep as T,Canonical treatment encodings derived from `segment`.
history_segment_ord,EDA helper (ordinal),exclude from X,Integer 1-7 view of history_segment for grouped balance/overlap tables. Redundant with history for modelling.
customer_uid/split,metadata,keep outside X,Bookkeeping columns in the clean file.
